publication,type
http://localhost/publications/articles/Journal1/1940/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1942/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article5,http://localhost/vocabulary/bench/Article
