person,document
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1940/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1941/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1942/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1943/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1944/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1945/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1946/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article4
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article5
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article6
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article7
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article8
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article9
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1947/Article10
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1948/Article1
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1948/Article2
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1948/Article3
http://localhost/persons/Paul_Erdoes,http://localhost/publications/articles/Journal1/1948/Article4
