document,title,volume,isbn,month,number,series,issued,booktitle,publisher
http://localhost/publications/articles/Journal1/1940/Article1,richer dwelling scrapped,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article2,prat burlily thanklessly,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article3,swiveled oinked apnea,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article4,maxillary bering evasiveness,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article5,evasiveness teashop reaccepts,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article6,reaccepts exorcises pirog,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article7,pirog summable heliocentricity,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article8,heliocentricity recelebrating dually,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article9,dually reoccupations embossers,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article10,embossers gloves mohairs,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article11,mohairs bewigged playgoers,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article12,playgoers batting waspishly,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article13,waspishly villainousness miscalling,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article14,miscalling skeins equalled,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article15,equalled bewitchment cheaters,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article16,cheaters kerneling napoleons,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article17,napoleons splinting surmisers,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article18,surmisers undamped sharpers,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article19,sharpers anesthetization undermentioned,,,,,,,,
http://localhost/publications/articles/Journal1/1940/Article20,undermentioned funnyman commuted,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article1,lachrymation arcadian acridities,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article2,acridities substituting surges,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article3,surges loggias reconciliating,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article4,reconciliating lenity tautological,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article5,tautological sodality outcrop,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article6,outcrop phenylketonuria grunts,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article7,grunts valiantly unremorsefully,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article8,unremorsefully stollens ponderers,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article9,ponderers loathly cancels,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article10,cancels parrots paraguayans,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article11,paraguayans overbites terminals,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article12,terminals podgy vagus,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article13,vagus xix recollected,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article14,recollected overeducated objurgate,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article15,objurgate preprocessor despising,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article16,despising yabber reprovingly,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article17,reprovingly dwarflike effulgences,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article18,effulgences tuberculoses environs,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article19,environs preexamination oralogy,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article20,oralogy slavishly hipless,,,,,,,,
http://localhost/publications/articles/Journal1/1941/Article21,hipless bluejays cuppier,,,,,,,,
