publication,pages,note,chapter,venue
http://localhost/publications/articles/Journal1/1940/Article1,110,overbites terminals giros podgy vagus kinkiest xix recollected,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article2,114,fringier rhythmical wastebaskets powderer immigrates inserter plights corollaries,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article3,117,harrower claymores shiftlessly feedstuffs lyricizing hierarchs composedly taunting,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article4,120,carpetbag peonism metropolitanize twanged pedros nonforfeitable dissociative apostacy,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article5,122,malting footgear abominators trilobate jigsawed kickstands prated songstresses,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article6,124,incorporeal piazadora hearings legation subendorsed hippocampus miscalculates whetters,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article7,126,leviathans misadvised tiltyard numberable yawing prosecutrices pegboxes feeblish,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article8,128,extenuation stranders abbesses strongboxes chromas oats pulling leatheriness,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article9,130,witchy horologe bigamistic furrows eloquence cobwebbier divorcing incidentally,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article10,132,retorts insoles stockman queening allergist doyenne placarders septuagenarians,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article11,134,safecracker cacaos mignonette tailored whews beholden branchless primitiveness,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article12,136,crimper tonners unfair southpaws scorify supportance jumpiest whanged,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article13,137,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article14,138,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article15,139,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article16,140,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article17,141,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article18,142,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article19,143,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article20,144,,,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1941/Article1,181,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article2,100,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article3,182,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article4,97,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article5,171,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article6,110,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article7,184,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article8,111,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article9,169,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article10,112,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article11,178,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article12,101,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article13,183,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article14,98,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article15,124,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article16,91,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article17,125,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article18,92,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article19,126,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article20,89,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article21,147,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article22,70,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article23,144,,,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1942/Article1,88,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article2,86,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article3,87,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article4,87,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article5,,intercollegiate iniquitously lycanthropies electrophoresed dinting rezoning pledgee protoactinium,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article6,69,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article7,50,weasand yearlings timidities untold fellowman adamantine museful medallions,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article8,51,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article9,80,malingerers gnashes chuffs redundance matriculant flexes repairing keepable,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article10,74,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article11,69,etchers mitering laboratorian tiptoed humoring hairiest ouzels frequented,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article12,72,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article13,70,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article14,71,,,http://localhost/publications/journals/Journal1/1942
