subject,object
http://localhost/publications/journals/Journal1/1940,Journal 1 (1940)
http://localhost/publications/articles/Journal1/1940/Article1,richer dwelling scrapped
http://localhost/publications/articles/Journal1/1940/Article2,prat burlily thanklessly
http://localhost/publications/articles/Journal1/1940/Article3,swiveled oinked apnea
http://localhost/publications/articles/Journal1/1940/Article4,maxillary bering evasiveness
http://localhost/publications/articles/Journal1/1940/Article5,evasiveness teashop reaccepts
http://localhost/publications/articles/Journal1/1940/Article6,reaccepts exorcises pirog
http://localhost/publications/articles/Journal1/1940/Article7,pirog summable heliocentricity
http://localhost/publications/articles/Journal1/1940/Article8,heliocentricity recelebrating dually
http://localhost/publications/articles/Journal1/1940/Article9,dually reoccupations embossers
http://localhost/publications/articles/Journal1/1940/Article10,embossers gloves mohairs
http://localhost/publications/articles/Journal1/1940/Article11,mohairs bewigged playgoers
http://localhost/publications/articles/Journal1/1940/Article12,playgoers batting waspishly
http://localhost/publications/articles/Journal1/1940/Article13,waspishly villainousness miscalling
http://localhost/publications/articles/Journal1/1940/Article14,miscalling skeins equalled
http://localhost/publications/articles/Journal1/1940/Article15,equalled bewitchment cheaters
http://localhost/publications/articles/Journal1/1940/Article16,cheaters kerneling napoleons
http://localhost/publications/articles/Journal1/1940/Article17,napoleons splinting surmisers
http://localhost/publications/articles/Journal1/1940/Article18,surmisers undamped sharpers
http://localhost/publications/articles/Journal1/1940/Article19,sharpers anesthetization undermentioned
http://localhost/publications/articles/Journal1/1940/Article20,undermentioned funnyman commuted
http://localhost/publications/journals/Journal1/1941,Journal 1 (1941)
http://localhost/publications/articles/Journal1/1941/Article1,lachrymation arcadian acridities
http://localhost/publications/articles/Journal1/1941/Article2,acridities substituting surges
http://localhost/publications/articles/Journal1/1941/Article3,surges loggias reconciliating
http://localhost/publications/articles/Journal1/1941/Article4,reconciliating lenity tautological
http://localhost/publications/articles/Journal1/1941/Article5,tautological sodality outcrop
http://localhost/publications/articles/Journal1/1941/Article6,outcrop phenylketonuria grunts
http://localhost/publications/articles/Journal1/1941/Article7,grunts valiantly unremorsefully
http://localhost/publications/articles/Journal1/1941/Article8,unremorsefully stollens ponderers
http://localhost/publications/articles/Journal1/1941/Article9,ponderers loathly cancels
http://localhost/publications/articles/Journal1/1941/Article10,cancels parrots paraguayans
http://localhost/publications/articles/Journal1/1941/Article11,paraguayans overbites terminals
http://localhost/publications/articles/Journal1/1941/Article12,terminals podgy vagus
http://localhost/publications/articles/Journal1/1941/Article13,vagus xix recollected
http://localhost/publications/articles/Journal1/1941/Article14,recollected overeducated objurgate
http://localhost/publications/articles/Journal1/1941/Article15,objurgate preprocessor despising
http://localhost/publications/articles/Journal1/1941/Article16,despising yabber reprovingly
http://localhost/publications/articles/Journal1/1941/Article17,reprovingly dwarflike effulgences
http://localhost/publications/articles/Journal1/1941/Article18,effulgences tuberculoses environs
http://localhost/publications/articles/Journal1/1941/Article19,environs preexamination oralogy
http://localhost/publications/articles/Journal1/1941/Article20,oralogy slavishly hipless
http://localhost/publications/articles/Journal1/1941/Article21,hipless bluejays cuppier
http://localhost/publications/articles/Journal1/1941/Article22,cuppier skimpiest outpoured
http://localhost/publications/articles/Journal1/1941/Article23,outpoured heartier petitionee
http://localhost/publications/incolls/1941/Incollection1,brill intermuscular fobbed
http://localhost/publications/journals/Journal1/1942,Journal 1 (1942)
http://localhost/publications/articles/Journal1/1942/Article1,transcribed redigesting ostinato
http://localhost/publications/articles/Journal1/1942/Article2,ostinato safest signiory
http://localhost/publications/articles/Journal1/1942/Article3,signiory inflecting trephines
http://localhost/publications/articles/Journal1/1942/Article4,trephines exec junketeers
http://localhost/publications/articles/Journal1/1942/Article5,junketeers reducing nethermost
http://localhost/publications/articles/Journal1/1942/Article6,nonfiction eliminates unknowns
http://localhost/publications/articles/Journal1/1942/Article7,unknowns danker raunchiness
http://localhost/publications/articles/Journal1/1942/Article8,raunchiness disjoined nigglings
http://localhost/publications/articles/Journal1/1942/Article9,nigglings labium peeped
http://localhost/publications/articles/Journal1/1942/Article10,peeped permuting immediately
http://localhost/publications/articles/Journal1/1942/Article11,immediately interrelated cooked
http://localhost/publications/articles/Journal1/1942/Article12,cooked goodwife technicolor
http://localhost/publications/articles/Journal1/1942/Article13,technicolor nippy bounden
http://localhost/publications/articles/Journal1/1942/Article14,bounden blubberer amenities
http://localhost/publications/articles/Journal1/1942/Article15,amenities tetrachlorides loutish
http://localhost/publications/articles/Journal1/1942/Article16,loutish malines cliffhanger
http://localhost/publications/articles/Journal1/1942/Article17,malines entailments reindexed
http://localhost/publications/articles/Journal1/1942/Article18,reindexed thoughtless elation
http://localhost/publications/articles/Journal1/1942/Article20,elation earings circumscribed
http://localhost/publications/articles/Journal1/1942/Article21,circumscribed pouchy surrejoinders
http://localhost/publications/articles/Journal1/1942/Article22,surrejoinders measurage tonsils
http://localhost/publications/articles/Journal1/1942/Article23,tonsils thurifer teazle
http://localhost/publications/articles/Journal1/1942/Article24,teazle rhythmical wastebaskets
http://localhost/publications/articles/Journal1/1942/Article25,wastebaskets immigrates inserter
http://localhost/publications/articles/Journal1/1942/Article26,inserter corollaries gaudiness
http://localhost/publications/incolls/1942/Incollection1,gaudiness inadvisability disciplinarians
http://localhost/publications/journals/Journal1/1943,Journal 1 (1943)
http://localhost/publications/articles/Journal1/1943/Article1,majors decaffeinates scalepan
http://localhost/publications/articles/Journal1/1943/Article2,scalepan attractive yeller
http://localhost/publications/articles/Journal1/1943/Article3,yeller reminds teratoid
http://localhost/publications/articles/Journal1/1943/Article4,reminds coadjutors thuggeries
http://localhost/publications/articles/Journal1/1943/Article5,thuggeries maladjustments subpartnership
http://localhost/publications/articles/Journal1/1943/Article6,subpartnership recirculations alkalin
http://localhost/publications/articles/Journal1/1943/Article7,alkalin marquise underlaid
http://localhost/publications/articles/Journal1/1943/Article8,underlaid innervated hunts
http://localhost/publications/articles/Journal1/1943/Article9,innervated barrens emanative
http://localhost/publications/articles/Journal1/1943/Article10,emanative varies thickest
http://localhost/publications/articles/Journal1/1943/Article11,thickest orbiters tormentor
http://localhost/publications/articles/Journal1/1943/Article12,orbiters owner zanier
http://localhost/publications/articles/Journal1/1943/Article13,owner corkscrewed promiscuousness
http://localhost/publications/articles/Journal1/1943/Article14,corkscrewed clewed reassemble
http://localhost/publications/articles/Journal1/1943/Article15,clewed hesitation fainting
http://localhost/publications/articles/Journal1/1943/Article16,hesitation croupy bacchanalia
http://localhost/publications/articles/Journal1/1943/Article17,bacchanalia teardown margarins
http://localhost/publications/articles/Journal1/1943/Article18,teardown inconvenience triunities
http://localhost/publications/articles/Journal1/1943/Article19,inconvenience dipped votarists
http://localhost/publications/articles/Journal1/1943/Article20,dipped kilogram timbrel
