subject,object
http://localhost/publications/journals/Journal1/1940,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1941,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1942,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1943,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1944,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1945,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1946,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1947,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1948,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1949,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1949,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1950,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1950,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1951,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1951,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1952,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1952,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1953,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1953,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1954,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1954,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1954,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1955,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1955,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1955,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1956,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1956,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1956,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1956,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1957,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1957,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1957,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1957,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1958,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1958,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1958,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1958,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1958,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1959,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1959,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1959,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1959,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1959,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1960,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1961,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal7/1962,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal7/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal8/1963,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal7/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal8/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal9/1964,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal7/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal8/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal9/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal10/1965,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal1/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal2/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal3/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal4/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal5/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal6/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal7/1966,http://localhost/vocabulary/bench/Journal
http://localhost/publications/journals/Journal8/1966,http://localhost/vocabulary/bench/Journal
