subject,object
http://localhost/publications/articles/Journal1/1940/Article1,http://www.gantleted.tld/succories/dwelling.html
http://localhost/publications/articles/Journal1/1940/Article2,http://www.scrapped.tld/islanded/burlily.html
http://localhost/publications/articles/Journal1/1940/Article3,http://www.thanklessly.tld/polers/oinked.html
http://localhost/publications/articles/Journal1/1940/Article4,http://www.apnea.tld/dumpers/bering.html
http://localhost/publications/articles/Journal1/1940/Article5,http://www.bering.tld/toto/teashop.html
http://localhost/publications/articles/Journal1/1940/Article6,http://www.teashop.tld/gunneries/exorcises.html
http://localhost/publications/articles/Journal1/1940/Article7,http://www.exorcises.tld/desexes/summable.html
http://localhost/publications/articles/Journal1/1940/Article8,http://www.summable.tld/excretions/recelebrating.html
http://localhost/publications/articles/Journal1/1940/Article9,http://www.recelebrating.tld/plateauing/reoccupations.html
http://localhost/publications/articles/Journal1/1940/Article10,http://www.reoccupations.tld/cerebrum/gloves.html
http://localhost/publications/articles/Journal1/1940/Article11,http://www.gloves.tld/admiralties/bewigged.html
http://localhost/publications/articles/Journal1/1940/Article12,http://www.bewigged.tld/cheques/batting.html
http://localhost/publications/articles/Journal1/1940/Article13,http://www.batting.tld/stilbestrol/villainousness.html
http://localhost/publications/articles/Journal1/1940/Article14,http://www.villainousness.tld/firefanged/skeins.html
http://localhost/publications/articles/Journal1/1940/Article15,http://www.skeins.tld/sandwiching/bewitchment.html
http://localhost/publications/articles/Journal1/1940/Article16,http://www.bewitchment.tld/riffled/kerneling.html
http://localhost/publications/articles/Journal1/1940/Article17,http://www.kerneling.tld/rifer/splinting.html
http://localhost/publications/articles/Journal1/1940/Article18,http://www.splinting.tld/satisfying/undamped.html
http://localhost/publications/articles/Journal1/1940/Article19,http://www.undamped.tld/forbearer/anesthetization.html
http://localhost/publications/articles/Journal1/1940/Article20,http://www.anesthetization.tld/outflanking/funnyman.html
http://localhost/publications/articles/Journal1/1941/Article1,http://www.commuted.tld/floweret/arcadian.html
http://localhost/publications/articles/Journal1/1941/Article2,http://www.arcadian.tld/unrealistic/substituting.html
http://localhost/publications/articles/Journal1/1941/Article3,http://www.substituting.tld/preheats/loggias.html
http://localhost/publications/articles/Journal1/1941/Article4,http://www.loggias.tld/photocatalyst/lenity.html
http://localhost/publications/articles/Journal1/1941/Article5,http://www.lenity.tld/jambing/sodality.html
http://localhost/publications/articles/Journal1/1941/Article6,http://www.sodality.tld/slipcases/phenylketonuria.html
http://localhost/publications/articles/Journal1/1941/Article7,http://www.phenylketonuria.tld/venturers/valiantly.html
http://localhost/publications/articles/Journal1/1941/Article8,http://www.valiantly.tld/extradites/stollens.html
http://localhost/publications/articles/Journal1/1941/Article9,http://www.stollens.tld/conditione/loathly.html
http://localhost/publications/articles/Journal1/1941/Article10,http://www.loathly.tld/debiting/parrots.html
http://localhost/publications/articles/Journal1/1941/Article11,http://www.parrots.tld/resonates/overbites.html
http://localhost/publications/articles/Journal1/1941/Article12,http://www.overbites.tld/giros/podgy.html
http://localhost/publications/articles/Journal1/1941/Article13,http://www.podgy.tld/kinkiest/xix.html
http://localhost/publications/articles/Journal1/1941/Article14,http://www.xix.tld/householder/overeducated.html
http://localhost/publications/articles/Journal1/1941/Article15,http://www.overeducated.tld/treaties/preprocessor.html
http://localhost/publications/articles/Journal1/1941/Article16,http://www.preprocessor.tld/loftily/yabber.html
http://localhost/publications/articles/Journal1/1941/Article17,http://www.yabber.tld/blungers/dwarflike.html
http://localhost/publications/articles/Journal1/1941/Article18,http://www.dwarflike.tld/coreless/tuberculoses.html
http://localhost/publications/articles/Journal1/1941/Article19,http://www.tuberculoses.tld/hulled/preexamination.html
http://localhost/publications/articles/Journal1/1941/Article20,http://www.preexamination.tld/tibetans/slavishly.html
http://localhost/publications/articles/Journal1/1941/Article21,http://www.slavishly.tld/prs/bluejays.html
http://localhost/publications/articles/Journal1/1941/Article22,http://www.bluejays.tld/nonsurgical/skimpiest.html
http://localhost/publications/articles/Journal1/1941/Article23,http://www.skimpiest.tld/dissociated/heartier.html
http://localhost/publications/incolls/1941/Incollection1,http://www.petitionee.tld/neologic/intermuscular.html
http://localhost/publications/articles/Journal1/1942/Article1,http://www.fobbed.tld/swifters/redigesting.html
http://localhost/publications/articles/Journal1/1942/Article2,http://www.redigesting.tld/recalculation/safest.html
http://localhost/publications/articles/Journal1/1942/Article3,http://www.safest.tld/latchets/inflecting.html
http://localhost/publications/articles/Journal1/1942/Article4,http://www.inflecting.tld/hops/exec.html
http://localhost/publications/articles/Journal1/1942/Article5,http://www.exec.tld/isolators/reducing.html
http://localhost/publications/articles/Journal1/1942/Article6,http://www.nethermost.tld/retrogressions/eliminates.html
http://localhost/publications/articles/Journal1/1942/Article7,http://www.eliminates.tld/mongoloids/danker.html
http://localhost/publications/articles/Journal1/1942/Article8,http://www.danker.tld/perspicuously/disjoined.html
http://localhost/publications/articles/Journal1/1942/Article9,http://www.disjoined.tld/midmonths/labium.html
http://localhost/publications/articles/Journal1/1942/Article10,http://www.labium.tld/daydreams/permuting.html
http://localhost/publications/articles/Journal1/1942/Article11,http://www.permuting.tld/canzona/interrelated.html
http://localhost/publications/articles/Journal1/1942/Article12,http://www.interrelated.tld/reformers/goodwife.html
http://localhost/publications/articles/Journal1/1942/Article13,http://www.goodwife.tld/plenishes/nippy.html
http://localhost/publications/articles/Journal1/1942/Article14,http://www.nippy.tld/occulters/blubberer.html
http://localhost/publications/articles/Journal1/1942/Article15,http://www.blubberer.tld/desecrated/tetrachlorides.html
http://localhost/publications/articles/Journal1/1942/Article16,http://www.tetrachlorides.tld/polygony/malines.html
http://localhost/publications/articles/Journal1/1942/Article18,http://www.entailments.tld/bedstraws/thoughtless.html
http://localhost/publications/articles/Journal1/1942/Article20,http://www.thoughtless.tld/swampland/earings.html
http://localhost/publications/articles/Journal1/1942/Article21,http://www.earings.tld/paralyzingly/pouchy.html
http://localhost/publications/articles/Journal1/1942/Article22,http://www.pouchy.tld/chestiest/measurage.html
http://localhost/publications/articles/Journal1/1942/Article23,http://www.measurage.tld/pasturage/thurifer.html
http://localhost/publications/articles/Journal1/1942/Article24,http://www.thurifer.tld/fringier/rhythmical.html
http://localhost/publications/articles/Journal1/1942/Article25,http://www.rhythmical.tld/powderer/immigrates.html
http://localhost/publications/articles/Journal1/1942/Article26,http://www.immigrates.tld/plights/corollaries.html
http://localhost/publications/articles/Journal1/1943/Article1,http://www.disciplinarians.tld/manifestly/decaffeinates.html
http://localhost/publications/articles/Journal1/1943/Article2,http://www.decaffeinates.tld/folklorists/attractive.html
http://localhost/publications/articles/Journal1/1943/Article3,http://www.attractive.tld/cognizably/reminds.html
http://localhost/publications/articles/Journal1/1943/Article5,http://www.coadjutors.tld/nondestructive/maladjustments.html
http://localhost/publications/articles/Journal1/1943/Article6,http://www.maladjustments.tld/cordilleras/recirculations.html
http://localhost/publications/articles/Journal1/1943/Article7,http://www.recirculations.tld/succulently/marquise.html
http://localhost/publications/articles/Journal1/1943/Article8,http://www.marquise.tld/neurosurgeon/innervated.html
http://localhost/publications/articles/Journal1/1943/Article10,http://www.barrens.tld/blowpipe/varies.html
http://localhost/publications/articles/Journal1/1943/Article11,http://www.varies.tld/machinability/orbiters.html
http://localhost/publications/articles/Journal1/1943/Article17,http://www.croupy.tld/regainers/teardown.html
http://localhost/publications/articles/Journal1/1943/Article21,http://www.kilogram.tld/presell/woodcraft.html
http://localhost/publications/articles/Journal1/1943/Article24,http://www.neurological.tld/flashings/oops.html
http://localhost/publications/articles/Journal1/1943/Article25,http://www.oops.tld/chippering/photospherically.html
http://localhost/publications/articles/Journal1/1943/Article27,http://www.canvasses.tld/cartons/acquirable.html
http://localhost/publications/articles/Journal1/1943/Article28,http://www.acquirable.tld/vividness/administrated.html
http://localhost/publications/articles/Journal1/1943/Article29,http://www.administrated.tld/prophetically/allayed.html
http://localhost/publications/incolls/1943/Incollection1,http://www.zinged.tld/stained/unintentional.html
http://localhost/publications/articles/Journal1/1944/Article2,http://www.quantitatively.tld/vitric/mendelism.html
http://localhost/publications/articles/Journal1/1944/Article3,http://www.mendelism.tld/leavening/embrocation.html
http://localhost/publications/articles/Journal1/1944/Article4,http://www.embrocation.tld/uroliths/sashes.html
http://localhost/publications/articles/Journal1/1944/Article6,http://www.fungic.tld/obnoxiously/dismounting.html
http://localhost/publications/articles/Journal1/1944/Article8,http://www.libations.tld/claymores/shiftlessly.html
http://localhost/publications/articles/Journal1/1944/Article9,http://www.shiftlessly.tld/lyricizing/hierarchs.html
http://localhost/publications/articles/Journal1/1944/Article10,http://www.hierarchs.tld/taunting/dragged.html
http://localhost/publications/articles/Journal1/1944/Article11,http://www.dragged.tld/careering/triplets.html
http://localhost/publications/articles/Journal1/1944/Article12,http://www.triplets.tld/colonies/defalcate.html
http://localhost/publications/articles/Journal1/1944/Article14,http://www.voucherable.tld/jeered/immunopathology.html
